LEMMA
de
la
et
à
le
il
être
les
ne
un
avoir
l'
d'
je
des
une
pas
en
dans
qui
elle
du
se
pour
s'
faire
au
sur
plus
on
dire
son
mais
me
lui
avec
nous
sa
par
vous
comme
que
tout
ses
y
ce
aller
ils
pouvoir
tu
bien
ça
ou
voir
cette
mon
sans
où
savoir
aux
moi
ma
vouloir
encore
deux
ces
petit
rien
venir
quand
prendre
homme
aussi
même
jour
devoir
temps
falloir
grand
oeil
main
passer
fois
non
jamais
très
toujours
là
parler
mettre
chose
alors
sous
peu
mes
regarder
femme
demander
trouver
dont
vers
suivre
croire
si
heure
tête
seul
donner
leurs
autre
penser
vie
laisser
coup
puis
entre
après
aimer
rester
trop
bon
t'
te
mère
cela
monde
tenir
nuit
quelques
enfant
père
arriver
entendre
sentir
moins
attendre
déjà
peut-être
air
devant
moment
an
notre
chez
premier
ni
trois
oui
connaître
sortir
beau
porte
comprendre
voix
elles
fille
contre
nos
maison
avant
sembler
jeune
côté
visage
rue
soir
quelque
mot
depuis
devenir
vieux
eux
cet
maintenant
ouvrir
revenir
bras
pied
chaque
partir
ici
noir
corps
porter
ainsi
car
place
rendre
répondre
presque
appeler
arrêter
beaucoup
vivre
eau
terre
mort
loin
toi
pendant
chercher
donc
long
tomber
lever
enfin
tant
blanc
vrai
votre
leur
regard
commencer
assez
finir
retrouver
chambre
sûr
gens
poser
monter
amour
dernier
coeur
peine
entrer
mieux
seulement
matin
dieu
asseoir
nom
mourir
tirer
quoi
table
perdre
tourner
fond
pourtant
année
autres
plein
autour
histoire
fait
guerre
ami
gros
ville
vite
doute
mal
derrière
ailleurs
force
tard
écrire
instant
reprendre
lit
jouer
jeter
longtemps
soleil
voilà
idée
question
parce que
marcher
silence
monsieur
lire
point
est-ce que
rire
part
celui
quitter
fin
écouter
personne
peur
ton
ceux
raison
tour
sorte
ciel
mois
descendre
bois
celle
français
pourquoi
ah
essayer
nouveau
surtout
retourner
pousser
épaule
train
route
parfois
oublier
souvent
apprendre
livre
servir
près
bouche
voiture
continuer
quatre
bruit
plutôt
manger
fenêtre
rentrer
façon
montrer
pièce
suite
dès
famille
boire
vraiment
lumière
rouge
geste
face
cheveu
lieu
besoin
quel
travail
courir
sourire
garçon
raconter
dormir
envie
mer
garder
doigt
milieu
lettre
affaire
ta
fils
travers
changer
quelle
pays
comment
imaginer
autant
crier
tous
général
feu
ordre
expliquer
plaisir
ombre
apercevoir
chemin
verre
reconnaître
bord
ajouter
recevoir
jambe
cinq
vent
occuper
agir
tendre
état
sens
âge
cas
frère
esprit
salle
souvenir
décider
dos
offrir
fort
possible
partie
dix
l'un
arbre
compte
bleu
propre
serrer
sang
soudain
lorsque
chef
compter
plusieurs
madame
papier
travailler
remettre
lui-même
rappeler
minute
traverser
mauvais
répéter
coin
couleur
découvrir
journal
manquer
semaine
cause
fermer
oh
haut
coucher
approcher
odeur
avancer
argent
toute
oreille
effet
malgré
toucher
heureux
aussitôt
pierre
image
rencontrer
chacun
pauvre
peau
bas
jardin
laquelle
chien
permettre
type
disparaître
mouvement
certain
battre
cacher
aucun
gagner
vos
journée
partout
cheval
parole
cesser
envoyer
café
cours
forme
eh
au-dessus
valoir
aucune
sac
jeu
importer
nouvelle
parmi
empêcher
tuer
bientôt
d'abord
ensuite
reste
tellement
frapper
nu
libre
lancer
fleur
fou
