theme;unk_words;line;line_percent
;"""désormais"",";Et puis une réaction politique, celle d'Olivier Faure, le retour d'Adrien Quatennens à l'Assemblée nationale, le Parlement, est désormais impossible, a estimé le premier secrétaire du Parti socialiste.;0.9705882352941176
;"""l'avocate"", ""dément"", ""réfute"", ""épouse"",";Et puis, à l'instant, l'avocate d'Adrien Quatennens, dément, réfute catégoriquement les accusations de son épouse.;0.8
;"""tremblement"", ""recherches"", ""d'éventuels"",";"Le Journal en français facile

Après le tremblement de terre qui a frappé l'Indonésie il y a deux jours, les recherches d'éventuels survivants se compliquent.";0.8888888888888888
;"""séisme"", ""rappel"",";Le séisme Mayeul, pour rappel, a touché lundi l'île de Java et a déjà fait au moins 271 morts.;0.9090909090909091
;"""coincées"", ""décombres"", ""habitations"", ""vivantes"",";Mais des personnes coincées dans les décombres, les restes des habitations pourraient être encore vivantes.;0.7647058823529411
;;Les Indonésiens sont inquiets.;1.0
;"""recherches"", ""secousses"", ""répliques"", ""séisme"", ""recherches"", ""répliques"",";Ils demandent aux autorités d'accélérer les recherches, mais la pluie et de nouvelles secousses, des répliques du séisme compliquent les recherches, il y aurait eu 171 répliques depuis lundi dernier.;0.8235294117647058
;;Les conséquences du réchauffement climatique sur la planète maintenant.;1.0
;;Exemple en Australie.;1.0
;"""inondations"", ""incendies"",";L'Australie, le pays qui rencontre de plus en plus d'événements climatiques, de catastrophes naturelles, que ce soit des tempêtes violentes, de graves inondations ou encore d'importants incendies.;0.9375
;"""augmenté"",";En un peu plus d'un siècle, les températures ont augmenté en Australie d'1,5 degrés Celsius.;0.9473684210526315
;"""étude"", ""climatologues"", ""étudient"",";Et c'est un rapport, une étude gouvernementale qui le dit aujourd'hui, les climatologues, ceux qui étudient le climat, sont très inquiets pour le futur.;0.896551724137931
;"""sonnette"",";Ils tirent même la sonnette d'alarme.;0.8571428571428571
;;Lucile Gimbert.;1.0
;"""écarlate"", ""dizaines"", ""déplacés"", ""calcinés"",";Un ciel écarlate, des dizaines de milliers de déplacés et des koalas calcinés.;0.7333333333333333
;"""incendies"", ""l'ampleur"",";Les images des incendies gigantesques de 2019 et 2020 ont réveillé l'Australie sur l'ampleur des événements climatiques qui nous attendent avec le réchauffement de la planète.;0.9259259259259259
;"""constate"",";Et ce nouveau rapport gouvernemental confirme ce que la population constate depuis plusieurs années, Ailie Gallant est scientifique du climat à Melbourne.;0.9583333333333334
;"""hausse"",";« A travers toute l'Australie, nous avons observé de forte hausse des températures, des vagues de chaleur plus fréquentes.;0.9545454545454546
;;Il pleut beaucoup moins, en particulier dans le sud ouest du pays.;1.0
;"""neige"",";Nous avons moins de neige.;0.8333333333333334
;"""fortement"", ""augmenté"", ""affectant"", ""s'acidifient"",";La température des océans a fortement augmenté, affectant la vie marine et les océans s'acidifient.;0.7647058823529411
;"""s'accélèrent"", ""réduire"", ""hausse"", ""globale"", ""climatologue"",";» Des changements qui s'accélèrent, l'Australie doit donc réduire drastiquement ses émissions de CO2 responsables de la hausse globale des températures, estime le climatologue Ian Lowe.;0.8275862068965517
;;« Les choses sont en train de changer avec des objectifs plus ambitieux de réduction des émissions de gaz carbonique.;1.0
;"""freiner"",";Mais le gouvernement fait encore trop peu pour freiner nos exportations d'énergies fossiles.;0.9285714285714286
;"""charbon"", ""usage"", ""promesse"", ""nette"",";"Ces exportations de gaz et de charbon contribuent pourtant beaucoup plus au changement climatique que notre usage domestique des énergies »

Les scientifiques appellent le nouveau gouvernement de centre gauche à aller plus loin que sa promesse de zéro émission nette en 2050.";0.9090909090909091
;"""l'actualité"",";"En sport, l'actualité, c'est la Coupe du monde de football au Qatar, avec quelques résultats cette après-midi

Espagne - Costa-Rica Rica, en ce moment, après neuf minutes de jeu, zéro zéro.";0.9736842105263158
;"""nul"",";Un peu plus tôt dans la journée, le Maroc et la Croatie match nul zéro zéro.;0.9444444444444444
;"""buts"",";Les Allemands ont été battus par les Japonais deux buts à un.;0.9230769230769231
;;Ce soir Belgique - Canada.;1.0
;;C'est à 19 h. Enfin une image forte au Mondial, juste avant le début du match entre l'Allemagne et le Japon.;1.0
;"""bâillonnés"",";Les joueurs allemands ont mis leur main devant la bouche, comme bâillonnés.;0.9285714285714286
;"""interdit"", ""brassard"", ""brassard"", ""coloré"", ""synonyme"",";Un signe de protestation car la FIFA leur avait interdit de porter un brassard, un brassard coloré autour du bras, synonyme de défense des droits humains.;0.8275862068965517
;;C'est la fin de ce journal.;1.0
;;Merci à vous de l'avoir écouté.;1.0
